Freq (Hz)	Amplitude
3.332222592469176459e-02	2.773918410738618832e+02
6.664445184938352917e-02	2.541018582729642503e+02
9.996667777407529376e-02	1.919255290750549250e+02
1.332889036987670583e-01	7.858029820748973293e+01
1.666111296234588091e-01	5.499656537113793320e+01
1.999333555481505875e-01	1.620106359129797511e+02
2.332555814728423660e-01	2.226260410904297373e+02
2.665778073975341167e-01	2.351073416390065063e+02
2.999000333222258674e-01	2.030355687589598688e+02
3.332222592469176181e-01	1.247133899386710141e+02
3.665444851716094243e-01	4.152452987182165600e+00
3.998667110963011750e-01	1.250999071483363707e+02
4.331889370209929258e-01	2.274609315469070054e+02
4.665111629456847320e-01	3.229988977005858146e+02
4.998333888703764827e-01	5.493963840139213062e+02
5.331556147950682334e-01	1.935902438122633157e+03
5.664778407197600396e-01	1.748372184560588266e+03
5.998000666444517348e-01	4.115335974108370465e+02
6.331222925691435410e-01	3.721751593659614343e+01
6.664445184938352362e-01	1.003090128516264770e+02
6.997667444185270424e-01	1.006905037177436242e+02
7.330889703432188487e-01	4.281504158688510131e+01
7.664111962679105439e-01	1.364794236336644495e+01
7.997334221926023501e-01	4.608394279980299757e+01
8.330556481172941563e-01	5.830257795885632532e+01
8.663778740419858515e-01	5.817543343262680366e+01
8.997000999666776577e-01	4.827530652952594892e+01
9.330223258913694639e-01	3.012036903197493487e+01
9.663445518160611591e-01	1.310207244351038014e+01
9.996667777407529654e-01	6.102836707298499697e+00
1.032989003665444772e+00	7.508109632828440461e+00
1.066311229590136467e+00	8.310205249442168096e+00
1.099633455514828162e+00	2.174553921965226344e+00
1.132955681439520079e+00	6.837055927792844656e+00
1.166277907364211774e+00	8.125029473028707372e+00
1.199600133288903470e+00	1.933205130595535337e+00
1.232922359213595387e+00	1.726297880034168841e+01
1.266244585138287082e+00	2.677420450755306192e+01
1.299566811062978777e+00	2.657478577745927595e+01
1.332889036987670472e+00	2.097154799461569397e+01
1.366211262912362390e+00	1.410379855374710978e+01
1.399533488837054085e+00	9.232333801592258027e+00
1.432855714761745780e+00	5.988095749652712740e+00
1.466177940686437697e+00	3.872807102813625946e+00
1.499500166611129393e+00	4.594852506698305028e+00
1.532822392535821088e+00	6.742122339619503357e+00
1.566144618460513005e+00	8.066315230313664486e+00
1.599466844385204700e+00	7.026229351500482778e+00
1.632789070309896395e+00	1.970325384931772561e-01
1.666111296234588313e+00	8.102088570287437008e+00
1.699433522159280008e+00	8.285087622584793365e+00
1.732755748083971703e+00	9.460101307376945101e+00
1.766077974008663620e+00	7.815247555773696675e+00
1.799400199933355315e+00	2.948951367743103624e+00
1.832722425858047011e+00	2.342861822097030977e+00
1.866044651782738928e+00	4.804342951618127522e+00
1.899366877707430623e+00	3.939096529532268853e+00
1.932689103632122318e+00	2.299923886566815234e+00
1.966011329556814013e+00	5.217311456903694911e-01
1.999333555481505931e+00	1.192633251639594105e+00
2.032655781406197626e+00	2.175237767901941233e+00
2.065978007330889543e+00	2.829854989881147809e+00
2.099300233255581016e+00	2.267194918881322963e+00
2.132622459180272934e+00	1.148421115355346078e+00
2.165944685104964851e+00	4.112651722602425508e+00
2.199266911029656324e+00	1.928735882654354583e+00
2.232589136954348241e+00	6.119089943577675328e+00
2.265911362879040158e+00	5.081007452115201772e+00
2.299233588803731632e+00	2.994923041101562600e+00
2.332555814728423549e+00	1.379568246432793410e+00
2.365878040653115466e+00	1.915269453265339372e+00
2.399200266577806939e+00	4.065677289595527988e+00
2.432522492502498856e+00	5.837583705325183558e+00
2.465844718427190774e+00	5.536190562891309952e+00
2.499166944351882247e+00	4.204331561061340317e+00
2.532489170276574164e+00	2.561574640709051387e+00
2.565811396201266081e+00	1.184999716372719947e+00
2.599133622125957555e+00	2.466427271746565175e-01
2.632455848050649472e+00	6.016609374306369773e-03
2.665778073975340945e+00	5.821966863007463910e-01
