Posición angular-canales 1 y 2, Ensayo #1
Tiempo ( s )	Posición angular ( rad )
0,0000	000000
0,0100	000000
0,0200	000000
0,0300	000000
0,0400	000000
0,0500	000000
0,0600	000000
0,0700	000000
0,0800	000000
0,0900	000000
0,1000	000000
0,1100	000000
0,1200	000000
0,1300	000000
0,1400	000000
0,1500	000000
0,1600	000000
0,1700	000000
0,1800	000000
0,1900	000000
0,2000	000000
0,2100	000000
0,2200	000000
0,2300	000000
0,2400	000000
0,2500	000000
0,2600	000000
0,2700	000000
0,2800	000000
0,2900	000000
0,3000	000000
0,3100	000000
0,3200	000000
0,3300	000000
0,3400	000000
0,3500	000000
0,3600	000000
0,3700	000000
0,3800	000000
0,3900	000000
0,4000	000000
0,4100	000000
0,4200	000000
0,4300	000000
0,4400	000000
0,4500	000000
0,4600	000000
0,4700	000000
0,4800	000000
0,4900	000000
0,5000	000000
0,5100	000000
0,5200	000000
0,5300	000000
0,5400	000000
0,5500	000000
0,5600	000000
0,5700	000000
0,5800	000000
0,5900	000000
0,6000	000000
0,6100	000000
0,6200	000000
0,6300	000000
0,6400	000000
0,6500	000000
0,6600	000000
0,6700	000000
0,6800	000000
0,6900	000000
0,7000	000000
0,7100	-0,00436332
0,7200	-0,00436332
0,7300	-0,00436332
0,7400	-0,00872665
0,7500	-0,0218166
0,7600	-0,0305433
0,7700	-0,0479966
0,7800	-0,0654498
0,7900	-0,0829031
0,8000	-0,100356
0,8100	-0,122173
0,8200	-0,143990
0,8300	-0,165806
0,8400	-0,183260
0,8500	-0,205076
0,8600	-0,226893
0,8700	-0,248709
0,8800	-0,270526
0,8900	-0,292343
0,9000	-0,318523
0,9100	-0,344703
0,9200	-0,370882
0,9300	-0,401426
0,9400	-0,431969
0,9500	-0,458149
0,9600	-0,488692
0,9700	-0,514872
0,9800	-0,541052
0,9900	-0,567232
1,0000	-0,593412
1,0100	-0,610865
1,0200	-0,637045
1,0300	-0,654498
1,0400	-0,671952
1,0500	-0,689405
1,0600	-0,702495
1,0700	-0,715585
1,0800	-0,728675
1,0900	-0,746128
1,1000	-0,754855
1,1100	-0,772308
1,1200	-0,785398
1,1300	-0,794125
1,1400	-0,807215
1,1500	-0,815941
1,1600	-0,829031
1,1700	-0,842121
1,1800	-0,855211
1,1900	-0,868301
1,2000	-0,881391
1,2100	-0,894481
1,2200	-0,911935
1,2300	-0,925025
1,2400	-0,938114
1,2500	-0,951204
